SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	year_farm_block	farm_section_block	year_farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob weight grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample29	1	OSU	2014	3	1	3	3	1.3	3.3	2014.3.3	OSU.1.3	2014.OSU.1.3	3.1.3.1	2014.3.1.3.1	Crown	1	6.3.1	OSU.14.CR8.1.3.1	29	1	4	E	Crown	0	1	3	0	0	0																	0.6147944979					0.1677783588							0.0673604227		
Sample30	1	OSU	2014	3	2	1	1	2.1	3.1	2014.3.1	OSU.2.1	2014.OSU.2.1	3.2.1.3	2014.3.2.1.3	Crown	1	15.1.3	OSU.14.CR8.2.1.3	30	1	4	F	Crown	0	3	3	0	1	0																	0.5566951146					0.1644212484							0.0661101219		
Sample31	1	OSU	2014	3	1	5	5	1.5	3.5	2014.3.5	OSU.1.5	2014.OSU.1.5	3.1.5.7	2014.3.1.5.7	Crown	1	8.5.7	OSU.14.CR8.1.5.7	31	1	4	G	Crown	0	7	4	0	1	0																	0.6038668388					0.103384556							0.0427269009		
Sample32	1	OSU	2014	3	1	5	5	1.5	3.5	2014.3.5	OSU.1.5	2014.OSU.1.5	3.1.5.1	2014.3.1.5.1	Crown	1	1.5.1	OSU.14.CR8.1.5.1	32	1	4	H	Crown	0	1	3	0	0	0																	0.6936678771					0.1691509149							0.0678705739		
Sample33	1	OSU	2014	3	2	2	2	2.2	3.2	2014.3.2	OSU.2.2	2014.OSU.2.2	3.2.2.3	2014.3.2.2.3	Crown	1	13.2.3	OSU.14.CR8.2.2.3	33	1	5	A	Crown	0	3	3	0	1	0																	0.6845088937					0.2260482418							0.0885075589		
Sample34	1	PC	2014	2	1	1	1	1.1	2.1	2014.2.1	PC.1.1	2014.PC.1.1	2.1.1.4	2014.2.1.1.4	Crown	1	B.1.4	PC.14.CR8.1.1.4	34	1	5	B	Crown	0	4	4	1	1	0																	0.638553297					0.1427061558							0.057934567		
Sample35	1	PC	2014	2	1	2	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.1	2014.2.1.2.1	Crown	1	A.2.1	PC.14.CR8.1.2.1	35	1	5	C	Crown	0	1	4	0	0	0																	0.6824451811					4.3549476889							0.7287552327		
Sample36	1	PC	2014	2	1	2	2	1.2	2.2	2014.2.2	PC.1.2	2014.PC.1.2	2.1.2.2	2014.2.1.2.2	Crown	1	C.2.2	PC.14.CR8.1.2.2	36	1	5	D	Crown	0	2	4	1	0	0																	0.5857201571					1.0077965725							0.3027197085		
Sample37	1	AS	2014	1	1	2	2	1.2	1.2	2014.1.2	AS.1.2	2014.AS.1.2	1.1.2.2	2014.1.1.2.2	Crown	1	C.2.2	AS.14.CR8.1.2.2	37	1	5	E	Crown	0	2	3	1	0	0																	0.5941253073					0.3602659417							0.1336238243		
Sample38	1	AS	2014	1	2	2	2	2.2	1.2	2014.1.2	AS.2.2	2014.AS.2.2	1.2.2.4	2014.1.2.2.4	Crown	1	A.2.4	AS.14.CR8.2.2.4	38	1	5	F	Crown	0	4	3	1	1	0																	0.4840436742					0.436314877							0.1572496588		
Sample39	1	AS	2014	1	3	3	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.1	2014.1.3.3.1	Crown	1	B.3.1	AS.14.CR8.3.3.1	39	1	5	G	Crown	0	1	3	0	0	0																	0.6059726307					0.3909905933							0.143324193		
Sample40	1	AS	2014	1	3	5	5	3.5	1.5	2014.1.5	AS.3.5	2014.AS.3.5	1.3.5.3	2014.1.3.5.3	Crown	1	B.5.3	AS.14.CR8.3.5.3	40	1	5	H	Crown	0	3	3	0	1	0																	0.6184678404					0.2024437817							0.0800647808		
Sample41	1	OSU	2014	3	1	4	4	1.4	3.4	2014.3.4	OSU.1.4	2014.OSU.1.4	3.1.4.6	2014.3.1.4.6	Crown	1	2.4.6	OSU.14.CR8.1.4.6	41	1	6	A	Crown	0	6	4	1	0	0																	0.7268296425					0.3316185299							0.1243798299		
Sample42	1	OSU	2014	3	1	1	1	1.1	3.1	2014.3.1	OSU.1.1	2014.OSU.1.1	3.1.1.8	2014.3.1.1.8	Crown	1	7.1.8	OSU.14.CR8.1.1.8	42	1	6	B	Crown	0	8	4	1	1	0																	0.6921341283					36.7408973403							1.5768122219		
Sample43	1	OSU	2014	3	2	1	1	2.1	3.1	2014.3.1	OSU.2.1	2014.OSU.2.1	3.2.1.2	2014.3.2.1.2	Crown	1	10.1.2	OSU.14.CR8.2.1.2	43	1	6	C	Crown	0	2	3	1	0	0																	0.6250869737					1.2120768158							0.3448002041		
Sample44	1	OSU	2014	3	1	4	4	1.4	3.4	2014.3.4	OSU.1.4	2014.OSU.1.4	3.1.4.5	2014.3.1.4.5	Crown	1	5.4.5	OSU.14.CR8.1.4.5	44	1	6	D	Crown	0	5	4	0	0	0																	0.7594638013					1.6286444979							0.4197318554		
Sample45	1	OSU	2014	3	1	3	3	1.3	3.3	2014.3.3	OSU.1.3	2014.OSU.1.3	3.1.3.7	2014.3.1.3.7	Crown	1	2.3.7	OSU.14.CR8.1.3.7	45	1	6	E	Crown	0	7	4	0	1	0																	0.6707069993					0.2899806847							0.1105832075		
Sample46	1	OSU	2014	3	2	1	1	2.1	3.1	2014.3.1	OSU.2.1	2014.OSU.2.1	3.2.1.1	2014.3.2.1.1	Crown	1	12.1.1	OSU.14.CR8.2.1.1	46	1	6	F	Crown	0	1	3	0	0	0																	0.5785070988					0.6119806096							0.2073598134		
Sample47	1	OSU	2014	3	2	5	5	2.5	3.5	2014.3.5	OSU.2.5	2014.OSU.2.5	3.2.5.5	2014.3.2.5.5	Crown	1	14.5.5	OSU.14.CR8.2.5.5	47	1	6	G	Crown	0	5	4	0	0	0																	0.811023834					0.3892634601							0.1427846132		
Sample48	1	OSU	2014	3	2	4	4	2.4	3.4	2014.3.4	OSU.2.4	2014.OSU.2.4	3.2.4.7	2014.3.2.4.7	Crown	1	11.4.7	OSU.14.CR8.2.4.7	48	1	6	H	Crown	0	7	4	0	1	0																	0.7148220715					0.1810822835							0.072280155		
Sample49	1	PC	2014	2	2	2	2	2.2	2.2	2014.2.2	PC.2.2	2014.PC.2.2	2.2.2.3	2014.2.2.2.3	Crown	1	E.2.3	PC.14.CR8.2.2.3	49	1	7	A	Crown	0	3	4	0	1	0																	0.6923364279					1.6711890968							0.4267046333		
Sample50	1	PC	2014	2	2	2	2	2.2	2.2	2014.2.2	PC.2.2	2014.PC.2.2	2.2.2.4	2014.2.2.2.4	Crown	1	E.2.4	PC.14.CR8.2.2.4	50	1	7	B	Crown	0	4	4	1	1	0																	0.7005240416					0.3226219681							0.1214357318		
Sample51	1	PC	2014	2	2	3	3	2.3	2.3	2014.2.3	PC.2.3	2014.PC.2.3	2.2.3.1	2014.2.2.3.1	Crown	1	F.3.1	PC.14.CR8.2.3.1	51	1	7	C	Crown	0	1	4	0	0	0																	0.5277223001					330.8316610497							2.520917821		
Sample52	1	PC	2014	2	1	4	4	1.4	2.4	2014.2.4	PC.1.4	2014.PC.1.4	2.1.4.1	2014.2.1.4.1	Crown	1	A.4.1	PC.14.CR8.1.4.1	52	1	7	D	Crown	0	1	4	0	0	0																	0.6656582813					0.7017560303							0.2308972982		
Sample53	1	AS	2014	1	1	5	5	1.5	1.5	2014.1.5	AS.1.5	2014.AS.1.5	1.1.5.4	2014.1.1.5.4	Crown	1	C.5.4	AS.14.CR8.1.5.4	53	1	7	E	Crown	0	4	3	1	1	0																	0.5811235139					0.2569999084							0.099335246		
Sample54	1	AS	2014	1	3	3	3	3.3	1.3	2014.1.3	AS.3.3	2014.AS.3.3	1.3.3.2	2014.1.3.3.2	Crown	1	B.3.2	AS.14.CR8.3.3.2	54	1	7	F	Crown	0	2	3	1	0	0																	0.616784833					0.2521245066							0.0976475157		
